,curr_iteration,loss,viol,best_loss,temp,accept,move_gen,move_type,move_target,move_dur,elapsed,retry
102,102,-3.33686911118,0,,0.0245950948585,False,propose_addition,Addition,,0.181672537001,26.991050943,0.0
103,103,-3.33686911118,0,,0.0234636108663,,propose_rotate,,,0.000185307988431,26.991386826,
104,104,-3.33686911118,0,,0.0223841801811,,propose_relation_plane_change,RelationPlaneChange,,0.175900409988,27.167352432,5.0
105,105,-3.33686911118,0,,0.0213544081189,,propose_resample,Resample,,0.202385736979,27.369858432,2.0
106,106,-3.33686911118,0,,0.0203720101615,,propose_rotate,,,0.000222823990043,27.370243385,
107,107,-3.33686911118,0,,0.0194348068891,False,propose_reinit_pose,ReinitPoseMove,,0.0849247470032,27.455239188,0.0
108,108,-3.33686911118,0,,0.0185407191447,False,propose_reinit_pose,ReinitPoseMove,,0.0807571350015,27.536136707,0.0
109,109,-3.33686911118,0,,0.0176877634217,,propose_addition,Addition,,0.476586104021,28.012877988,5.0
110,110,-3.33686911118,0,,0.0168740474639,,propose_addition,Addition,,0.481207172968,28.494213064,5.0
111,111,-3.33686911118,0,,0.0160977660672,False,propose_addition,Addition,,0.495522428013,28.989865255,3.0
112,112,-3.33686911118,0,,0.0153571970749,,propose_addition,Addition,,0.499061765964,29.489086959,5.0
113,113,-3.33686911118,0,,0.0146506975572,,propose_rotate,,,0.000168977014255,29.489379987,
114,114,-3.33686911118,0,,0.0139767001664,False,propose_reinit_pose,ReinitPoseMove,,0.0987847099896,29.58823182,0.0
115,115,-3.33686911118,0,,0.0133337096598,False,propose_reinit_pose,ReinitPoseMove,,0.124912494968,29.713299022,1.0
116,116,-3.33686911118,0,,0.0127202995826,,propose_relation_plane_change,RelationPlaneChange,,0.163829591009,29.877287161,5.0
117,117,-3.33686911118,0,,0.0121351091031,False,propose_relation_plane_change,RelationPlaneChange,,0.188388740993,30.065796762,3.0
118,118,-3.33686911118,0,,0.011576839994,False,propose_translate,TranslateMove,,0.0775751840556,30.143505723,0.0
119,119,-3.33686911118,0,,0.0110442537524,,propose_addition,Addition,,0.48822504899,30.631874688,5.0
120,120,-3.33686911118,0,,0.0105361688518,,propose_relation_plane_change,RelationPlaneChange,,0.169303162023,30.801306502,5.0
121,121,-3.33686911118,0,,0.0100514581213,False,propose_addition,Addition,,0.471355410991,31.272800503,3.0
122,122,-3.33686911118,0,,0.00958904624493,False,propose_reinit_pose,ReinitPoseMove,,0.0984446490183,31.37139834,0.0
123,123,-3.35992153752,0,,0.00914790737601,True,propose_translate,TranslateMove,,0.0808481129934,31.452460138,0.0
124,124,-3.36103169603,0,,0.00872706286138,True,propose_translate,TranslateMove,,0.0776648759493,31.530272426,0.0
125,125,-3.36103169603,0,,0.00832557907026,,propose_rotate,,,0.000156707013957,31.530566775,
126,126,-3.36103169603,0,,0.00794256532309,False,propose_resample,Resample,,0.223014059011,31.753646375,1.0
127,127,-3.36103169603,0,,0.0075771719155,,propose_rotate,,,0.000182165007573,31.753978171,
128,128,-3.36103169603,0,,0.00722858823335,,propose_addition,Addition,,0.506073329016,32.26012359,5.0
129,129,-3.36103169603,0,,0.00689604095434,,propose_addition,Addition,,0.493557845009,32.753822346,5.0
130,130,-3.36103169603,0,,0.00657879233243,False,propose_translate,TranslateMove,,0.0970178450225,32.851001294,0.0
131,131,-3.36103169603,0,,0.00627613856122,,propose_rotate,,,0.000175501045305,32.851314785,
132,132,-3.37470970244,0,,0.00598740821252,True,propose_translate,TranslateMove,,0.0856805429794,32.937059722,1.0
133,133,-3.37470970244,0,,0.00571196074682,,propose_rotate,,,0.000152478984091,32.937350597,
134,134,-3.37470970244,0,,0.00544918509232,,propose_addition,Addition,,0.478654883977,33.416072204,5.0
135,135,-3.3752729152,0,,0.00519849828919,True,propose_translate,TranslateMove,,0.0826433569891,33.49884769,0.0
136,136,-3.3752729152,0,,0.00495934419641,False,propose_reinit_pose,ReinitPoseMove,,0.127337643993,33.626337588,1.0
137,137,-3.3752729152,0,,0.00473119225789,,propose_relation_plane_change,RelationPlaneChange,,0.176373955968,33.802861028,5.0
138,138,-3.3752729152,0,,0.00451353632549,False,propose_translate,TranslateMove,,0.0812790229684,33.884255861,0.0
139,139,-3.37506390641,0,,0.00430589353615,True,propose_translate,TranslateMove,,0.07967039902,33.96406004,0.0
140,140,-3.37506390641,0,,0.00410780324065,False,propose_translate,TranslateMove,,0.0835254479898,34.047730252,0.0
141,141,-3.37506390641,0,,0.0039188259817,,propose_addition,Addition,,0.500797806017,34.548696075,5.0
142,142,-3.37506390641,0,,0.003738542519,False,propose_addition,Addition,,0.378252869006,34.927090704,2.0
143,143,-3.37506390641,0,,0.00356655289917,False,propose_reinit_pose,ReinitPoseMove,,0.132929689018,35.060180908,1.0
144,144,-3.37506390641,0,,0.00340247556847,,propose_rotate,,,0.000174686021637,35.060487647,
145,145,-3.37506390641,0,,0.00324594652632,False,propose_translate,TranslateMove,,0.0781141989864,35.138671862,0.0
146,146,-3.37506390641,0,,0.00309661851782,False,propose_reinit_pose,ReinitPoseMove,,0.111478873005,35.250296368,0.0
147,147,-3.37506390641,0,,0.00295416026332,,propose_rotate,,,0.000187560974155,35.250658235,
148,148,-3.37506390641,0,,0.00281825572351,,propose_relation_plane_change,RelationPlaneChange,,0.169431695016,35.420245404,5.0
149,149,-3.37506390641,0,,0.0026886033983,,propose_reinit_pose,ReinitPoseMove,,0.171311514976,35.591672528,5.0
150,150,-3.37506390641,0,,0.00256491565796,,propose_rotate,,,0.000294785015285,35.592146528,
151,151,-3.37506390641,0,,0.00244691810499,,propose_rotate,,,0.000244602968451,35.592583365,
152,152,-3.38051677176,0,,0.00233434896541,True,propose_translate,TranslateMove,,0.0806116849999,35.673305436,0.0
153,153,-3.38051677176,0,,0.00222695850801,False,propose_addition,Addition,,0.286504757998,35.959945992,1.0
154,154,-3.38051677176,0,,0.00212450849033,,propose_addition,Addition,,0.476038852998,36.436135324,5.0
155,155,-3.38051677176,0,,0.00202677163012,,propose_rotate,,,0.000171698979102,36.436430681,
156,156,-3.39400598275,0,,0.00193353110112,True,propose_translate,TranslateMove,,0.0804757870501,36.516971371,0.0
157,157,-3.395321575,0,,0.00184458005206,True,propose_translate,TranslateMove,,0.0843105089734,36.601426945,0.0
158,158,-3.395321575,0,,0.00175972114775,False,propose_reinit_pose,ReinitPoseMove,,0.0855946409865,36.687168398,0.0
159,159,-3.395321575,0,,0.00167876613127,False,propose_translate,TranslateMove,,0.0803506179946,36.767663023,0.0
160,160,-3.395321575,0,,0.0016015354064,,propose_rotate,,,0.000183394993655,36.767987846,
161,161,-3.395321575,0,,0.00152785763912,False,propose_reinit_pose,ReinitPoseMove,,0.118780602992,36.886868109,1.0
162,162,-3.4043427322,0,,0.00145756937754,True,propose_translate,TranslateMove,,0.0751221489627,36.962138568,0.0
163,163,-3.4043427322,0,,0.00139051468929,False,propose_reinit_pose,ReinitPoseMove,,0.0940905959578,37.056372668,0.0
164,164,-3.4043427322,0,,0.00132654481558,False,propose_relation_plane_change,RelationPlaneChange,,0.0897131660022,37.146291902,0.0
165,165,-3.4043427322,0,,0.0012655178412,False,propose_translate,TranslateMove,,0.080577947956,37.227004327,0.0
166,166,-3.4043427322,0,,0.00120729837966,False,propose_reinit_pose,ReinitPoseMove,,0.126702353009,37.353850395,1.0
167,167,-3.4043427322,0,,0.00115175727286,,propose_relation_plane_change,RelationPlaneChange,,0.170813617005,37.524808534,5.0
168,168,-3.4043427322,0,,0.00109877130453,,propose_rotate,,,0.00016214203788,37.525086189,
169,169,-3.4043427322,0,,0.00104822292693,False,propose_reinit_pose,ReinitPoseMove,,0.083738132962,37.608889804,0.0
170,170,-3.41761935511,0,,0.001,True,propose_translate,TranslateMove,,0.0764806100051,37.685521271,0.0
171,171,-3.41761935511,0,,0.001,,propose_rotate,,,0.000153640983626,37.685811313,
172,172,-3.41761935511,0,,0.001,,propose_addition,Addition,,0.495217518997,38.181092803,5.0
173,173,-3.41761935511,0,,0.001,,propose_relation_plane_change,RelationPlaneChange,,0.166345356032,38.347572041,5.0
174,174,-3.41761935511,0,,0.001,,propose_rotate,,,0.000160796975251,38.347856588,
175,175,-3.41761935511,0,,0.001,False,propose_reinit_pose,ReinitPoseMove,,0.185395665991,38.533326211,2.0
176,176,-3.41761935511,0,,0.001,False,propose_reinit_pose,ReinitPoseMove,,0.0933790249983,38.626845764,0.0
177,177,-3.41761935511,0,,0.001,,propose_relation_plane_change,RelationPlaneChange,,0.172357800999,38.799345919,5.0
178,178,-3.41761935511,0,,0.001,False,propose_translate,TranslateMove,,0.0906687849783,38.890130554,0.0
179,179,-3.41761935511,0,,0.001,False,propose_addition,Addition,,0.474430850998,39.364701477,3.0
180,180,-3.41929582391,0,,0.001,True,propose_translate,TranslateMove,,0.087745797995,39.452598927,0.0
181,181,-3.41929582391,0,,0.001,False,propose_reinit_pose,ReinitPoseMove,,0.105731906951,39.558486753,0.0
182,182,-3.41929582391,0,,0.001,False,propose_reinit_pose,ReinitPoseMove,,0.0822167099686,39.640858095,0.0
183,183,-3.42088170432,0,,0.001,True,propose_translate,TranslateMove,,0.0812597800395,39.722266358,0.0
184,184,-3.42088170432,0,,0.001,,propose_rotate,,,0.000158075010404,39.722562345,
185,185,-3.42088170432,0,,0.001,False,propose_translate,TranslateMove,,0.0872869809973,39.809915604,0.0
186,186,-3.42088170432,0,,0.001,False,propose_translate,TranslateMove,,0.0846123629599,39.894677106,0.0
187,187,-3.42088170432,0,,0.001,False,propose_reinit_pose,ReinitPoseMove,,0.118745292013,40.013559244,1.0
188,188,-3.42088170432,0,,0.001,False,propose_reinit_pose,ReinitPoseMove,,0.0855998640181,40.099300814,0.0
189,189,-3.42578751001,0,,0.001,True,propose_translate,TranslateMove,,0.0745389320073,40.173981095,0.0
190,190,-3.42578751001,0,,0.001,,propose_rotate,,,0.000155601999722,40.174272976,
191,191,-3.42578751001,0,,0.001,False,propose_resample,Resample,,0.277826646983,40.452165626,2.0
192,192,-3.42578751001,0,,0.001,,propose_rotate,,,0.000176305999048,40.452478922,
193,193,-3.42578751001,0,,0.001,False,propose_reinit_pose,ReinitPoseMove,,0.0866132110241,40.539160624,0.0
194,194,-3.69916354898,0,,0.001,True,propose_reinit_pose,ReinitPoseMove,,0.113774935016,40.653066205,0.0
195,195,-3.69916354898,0,,0.001,False,propose_reinit_pose,ReinitPoseMove,,0.155242588022,40.808439345,2.0
196,196,-3.69916354898,0,,0.001,,propose_resample,Resample,,0.214581211039,41.023230395,2.0
